Percentage at School,Percentage at College,Hours Studing per day,Interested in extracurricular activites?,Participated in any competition?,Self-learning capability?,Extra-courses did,Olympiads,Reading and Writing Skills,Job or Higher Studies?,Managerial or Technical,Hard Worker or Smart Worker,Worked in teams ever?,Are you Introvert?,School Major,Favorite Subject at School,College Major,Favorite Subject at College,Skills,Hours working per day,Interested Subjects,Workshops,Certifications,Name of University,Alternate University,Suggested Job Role,Course of Study
70,70,2,1,1,5,0,1,4,Higher Studies,Managerial,Hard Worker,1,1,Computer,english,Computer Science,english,leadership,4,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
93,88,4,1,1,4,0,1,3,Higher Studies,Managerial,Smart Worker,1,0,Computer,maths,Pre-engineering,maths,leadership,9,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
84,78,1,0,0,5,1,0,5,Higher Studies,Technical,Smart Worker,1,0,Biology,physics,Pre-engineering,physics,adaptability,12,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
76,65,5,0,0,4,1,0,4,Higher Studies,Managerial,Smart Worker,1,1,Computer,physics,Computer Science,physics,adaptability,5,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
74,64,4,1,1,4,1,1,5,Job,Managerial,Hard Worker,1,0,Biology,english,Pre-engineering,english,active listening,5,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
71,57,1,0,0,4,1,0,4,Higher Studies,Technical,Hard Worker,0,0,Computer,maths,Pre-engineering,maths,business,8,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
55,55,2,0,0,3,1,0,3,Job,Technical,Hard Worker,1,1,Biology,maths,Pre-engineering,maths,problem solving,5,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
66,60,1,0,0,5,0,0,4,Job,Managerial,Smart Worker,1,0,Biology,maths,Pre-engineering,computer,critical thinking,4,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
60,59,2,1,1,5,0,0,4,Higher Studies,Technical,Hard Worker,1,0,Biology,maths,Pre-engineering,maths,critical thinking,16,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
54,65,3,1,0,3,0,1,4,Job,Managerial,Hard Worker,0,0,Biology,physics,Computer Science,computer,decision making,5,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
70,67,1,1,1,5,1,0,4,Higher Studies,Technical,Hard Worker,1,0,Computer,maths,Computer Science,maths,decision making,10,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
70,66,1,0,0,3,1,1,4,Higher Studies,Managerial,Hard Worker,1,1,Computer,maths,Pre-engineering,maths,reading books,7,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
66,86,6,1,0,4,0,0,4,Job,Managerial,Hard Worker,0,1,Computer,maths,Pre-engineering,maths,management,14,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
65,77,4,1,1,3,1,1,4,Job,Managerial,Smart Worker,0,0,Biology,maths,Commerce,computer,graphic designing,5,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
71,60,2,0,0,5,0,0,4,Higher Studies,Technical,Smart Worker,0,1,Computer,maths,Pre-engineering,maths,teamwork,8,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
60,45,1,1,1,5,0,0,5,Higher Studies,Technical,Hard Worker,0,1,Biology,maths,Pre-engineering,physics,decision making,7,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
85,70,2,0,0,4,0,1,4,Higher Studies,Managerial,Hard Worker,1,0,Biology,maths,Pre-engineering,maths,programming,9,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
54,54,0,0,0,1,1,1,1,Job,Technical,Smart Worker,0,0,Computer,urdu,Pre-engineering,urdu,testing,10,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
64,55,3,0,0,2,1,1,2,Higher Studies,Managerial,Hard Worker,0,0,Biology,maths,Pre-engineering,maths,development,4,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
72,65,1,1,1,3,0,1,3,Higher Studies,Managerial,Smart Worker,1,1,Computer,computer,Computer Science,computer,adaptability,5,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
50,50,0,0,0,1,1,0,1,Higher Studies,Technical,Hard Worker,0,1,Computer,maths,Computer Science,computer,development,4,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
71,62,5,0,0,5,0,1,5,Job,Technical,Smart Worker,0,0,Biology,physics,Commerce,accounting,teamwork,10,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
57,57,1,0,0,4,0,1,4,Job,Technical,Hard Worker,0,0,Computer,computer,Computer Science,computer,adaptability,4,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
79,58,1,0,0,5,0,1,5,Job,Managerial,Hard Worker,0,0,Computer,maths,Pre-engineering,islamic studies,development,4,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
85,60,3,0,0,5,0,1,5,Job,Technical,Smart Worker,1,0,Biology,english,Computer Science,english,adaptability,5,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
75,80,2,0,0,2,0,1,4,Job,Technical,Smart Worker,0,1,Biology,maths,Pre-engineering,maths,programming,5,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
70,73,2,0,0,5,1,0,4,Job,Technical,Hard Worker,0,1,Computer,computer,Computer Science,computer,decision making,5,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
80,89,4,0,0,4,0,0,5,Job,Managerial,Smart Worker,0,1,Biology,physics,Computer Science,computer,adaptability,4,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
70,59,3,0,0,2,0,0,5,Job,Technical,Smart Worker,0,1,Biology,physics,Pre-engineering,pakistan studies,decision making,6,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
60,50,4,0,0,3,1,1,4,Job,Technical,Hard Worker,1,0,Biology,english,Pre-engineering,english,development,4,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
82,80,1,0,0,2,1,1,3,Higher Studies,Technical,Hard Worker,0,1,Computer,maths,Pre-engineering,maths,adaptability,8,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
57,51,2,0,0,4,0,0,5,Job,Technical,Smart Worker,0,0,Biology,maths,Computer Science,computer,testing,10,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
74,60,5,1,0,4,1,0,4,Higher Studies,Technical,Hard Worker,0,0,Biology,maths,Pre-engineering,maths,teamwork,8,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
87,85,6,1,0,4,1,1,5,Job,Managerial,Smart Worker,1,0,Biology,maths,Computer Science,computer,testing,8,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
60,65,5,0,0,4,0,0,5,Higher Studies,Technical,Hard Worker,1,0,Biology,maths,Pre-engineering,maths,adaptability,4,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
75,65,3,1,1,4,0,0,4,Higher Studies,Managerial,Hard Worker,1,0,Biology,chemistry,Computer Science,chemistry,decision making,4,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
60,60,6,0,0,4,0,1,2,Higher Studies,Technical,Hard Worker,0,0,Computer,maths,Computer Science,maths,decision making,7,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
72,68,4,0,0,4,1,0,2,Job,Technical,Smart Worker,0,1,Biology,physics,Pre-engineering,english,adaptability,4,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
65,60,1,1,1,4,0,0,3,Job,Managerial,Hard Worker,1,1,Biology,maths,Computer Science,physics,programming,6,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
73,86,6,1,1,4,0,0,2,Job,Technical,Hard Worker,1,0,Computer,maths,Pre-engineering,english,testing,10,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
62,64,9,0,0,4,0,1,3,Higher Studies,Technical,Smart Worker,0,0,Biology,maths,Pre-engineering,computer,testing,10,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
78,80,6,0,0,4,1,0,2,Job,Managerial,Smart Worker,0,1,Biology,physics,Pre-engineering,english,adaptability,8,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
87,80,15,0,0,4,0,1,5,Higher Studies,Managerial,Smart Worker,1,0,Biology,english,Pre-engineering,maths,testing,5,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
85,64,9,1,0,4,1,1,3,Higher Studies,Technical,Hard Worker,0,1,Computer,english,Pre-engineering,physics,decision making,9,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
63,73,6,1,0,4,1,1,2,Job,Technical,Hard Worker,0,1,Computer,english,Pre-engineering,physics,teamwork,6,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
69,76,12,0,0,5,0,0,4,Higher Studies,Technical,Smart Worker,1,0,Biology,maths,Pre-engineering,english,decision making,4,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
94,70,3,1,1,4,0,1,1,Higher Studies,Technical,Hard Worker,1,0,Biology,physics,Computer Science,maths,development,7,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
74,75,9,0,0,3,0,0,3,Job,Technical,Smart Worker,0,0,Biology,physics,Computer Science,maths,programming,7,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
62,67,3,0,0,4,1,0,1,Job,Technical,Smart Worker,0,1,Computer,english,Computer Science,maths,adaptability,10,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
91,84,3,0,0,5,1,0,1,Job,Technical,Hard Worker,0,1,Biology,maths,Computer Science,computer,programming,10,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
75,83,12,0,0,3,0,1,4,Job,Managerial,Hard Worker,1,1,Computer,maths,Pre-engineering,maths,programming,9,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
74,72,6,1,0,3,1,1,2,Job,Managerial,Hard Worker,0,0,Biology,maths,Pre-engineering,computer,programming,8,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
67,68,12,1,0,2,0,0,4,Job,Technical,Hard Worker,1,0,Computer,maths,Computer Science,maths,teamwork,12,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
72,79,9,1,1,2,0,1,3,Higher Studies,Managerial,Smart Worker,1,1,Computer,physics,Pre-engineering,maths,decision making,4,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
66,93,12,1,1,5,0,0,4,Job,Managerial,Hard Worker,0,1,Computer,maths,Pre-engineering,computer,adaptability,5,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
68,63,6,1,1,3,0,1,2,Job,Managerial,Smart Worker,0,1,Computer,maths,Pre-engineering,maths,programming,5,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
89,68,9,0,0,2,1,0,3,Higher Studies,Managerial,Hard Worker,1,0,Computer,maths,Pre-engineering,physics,development,5,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
61,75,3,0,0,2,1,1,1,Job,Managerial,Smart Worker,1,0,Computer,maths,Pre-engineering,maths,development,9,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
62,71,15,0,0,2,0,0,5,Job,Managerial,Smart Worker,1,1,Biology,maths,Computer Science,urdu,programming,7,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
69,63,9,0,0,5,1,0,3,Higher Studies,Technical,Hard Worker,1,0,Computer,maths,Computer Science,maths,testing,6,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
74,91,3,0,0,4,1,1,1,Job,Technical,Smart Worker,0,0,Computer,maths,Pre-engineering,computer,teamwork,10,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
74,71,9,0,0,2,1,1,3,Higher Studies,Managerial,Hard Worker,1,0,Computer,urdu,Pre-engineering,computer,decision making,8,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
74,91,9,0,0,4,0,0,3,Higher Studies,Managerial,Smart Worker,1,1,Computer,maths,Commerce,accounting,testing,10,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
85,77,9,1,0,4,0,0,3,Higher Studies,Managerial,Smart Worker,1,0,Computer,computer,Pre-engineering,computer,testing,8,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
86,65,9,0,0,3,0,0,3,Job,Technical,Hard Worker,0,1,Computer,maths,Pre-engineering,islamic studies,programming,5,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
80,67,12,1,0,2,0,1,4,Job,Managerial,Hard Worker,0,0,Biology,physics,Pre-engineering,english,testing,6,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
75,78,15,1,1,1,0,0,5,Job,Technical,Hard Worker,0,0,Biology,computer,Pre-engineering,maths,decision making,12,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
68,91,12,1,1,4,0,1,4,Job,Managerial,Hard Worker,1,0,Biology,maths,Pre-engineering,computer,testing,11,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
61,79,9,0,0,1,0,1,3,Higher Studies,Technical,Hard Worker,0,0,Computer,english,Computer Science,computer,development,11,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
64,93,12,0,0,3,1,1,4,Higher Studies,Technical,Hard Worker,1,1,Biology,maths,Computer Science,pakistan studies,testing,7,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
93,65,6,1,1,3,0,1,2,Higher Studies,Managerial,Smart Worker,0,0,Biology,computer,Commerce,english,adaptability,9,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
92,90,15,0,0,3,1,1,5,Higher Studies,Technical,Hard Worker,1,0,Computer,physics,Computer Science,maths,programming,8,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
67,77,9,0,0,2,1,1,3,Job,Technical,Hard Worker,0,1,Computer,physics,Pre-engineering,computer,programming,5,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
84,69,6,1,0,3,1,0,2,Job,Technical,Smart Worker,0,0,Computer,english,Computer Science,maths,adaptability,11,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
65,74,3,1,1,3,0,0,1,Higher Studies,Managerial,Smart Worker,1,1,Computer,maths,Pre-engineering,computer,adaptability,5,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
69,86,12,0,0,1,0,1,4,Higher Studies,Technical,Hard Worker,0,0,Computer,maths,Computer Science,maths,adaptability,5,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
64,73,15,1,1,3,1,1,5,Higher Studies,Managerial,Smart Worker,1,1,Computer,maths,Computer Science,chemistry,development,12,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
67,61,9,1,0,3,0,0,3,Higher Studies,Technical,Hard Worker,0,0,Biology,maths,Pre-engineering,pyhsics,development,7,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
92,70,3,1,0,1,0,1,1,Job,Managerial,Smart Worker,1,0,Biology,maths,Pre-engineering,computer,development,4,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
85,74,3,0,0,2,1,1,1,Higher Studies,Managerial,Hard Worker,0,1,Biology,maths,Pre-engineering,physics,teamwork,10,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
94,76,3,1,1,1,1,0,1,Job,Technical,Smart Worker,0,1,Biology,maths,Computer Science,maths,testing,5,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
67,71,3,1,1,1,0,0,1,Job,Managerial,Smart Worker,1,1,Computer,maths,Pre-engineering,computer,adaptability,7,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
85,61,12,1,1,4,1,1,4,Job,Managerial,Hard Worker,1,1,Computer,maths,Computer Science,maths,testing,6,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
69,71,3,1,0,4,1,0,1,Job,Technical,Hard Worker,0,0,Biology,urdu,Pre-engineering,physics,teamwork,8,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
91,93,3,0,0,4,1,0,1,Job,Managerial,Hard Worker,1,0,Biology,maths,Computer Science,computer,testing,6,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
60,94,12,1,1,4,0,0,4,Higher Studies,Managerial,Smart Worker,1,0,Biology,computer,Computer Science,islamic studies,adaptability,5,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
79,87,12,1,1,4,1,1,4,Job,Technical,Hard Worker,1,1,Computer,maths,Humanities,english,decision making,10,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
77,90,6,1,0,4,1,1,2,Job,Managerial,Smart Worker,0,0,Computer,physics,Humanities,maths,testing,6,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
